Time (s),Agent ID,Distance
140.042,121,9.3646
140.042,122,9.28951
140.042,123,12.2046
140.058,121,9.3646
140.058,122,9.28951
140.058,123,12.2046
140.059,121,9.3646
140.059,122,9.28951
140.059,123,12.2046
140.06,121,9.3646
140.06,122,9.28951
140.06,123,12.2046
140.076,121,9.3646
140.076,122,9.28951
140.076,123,12.2046
140.077,121,9.36825
140.077,122,9.29275
140.077,123,12.1797
140.078,121,9.36825
140.078,122,9.29275
140.078,123,12.1797
140.094,121,9.36825
140.094,122,9.29275
140.094,123,12.1797
140.095,121,9.36825
140.095,122,9.29275
140.095,123,12.1797
140.111,121,9.36825
140.111,122,9.29275
140.111,123,12.1797
140.112,121,9.37104
140.112,122,9.29526
140.112,123,12.1538
140.113,121,9.37104
140.113,122,9.29526
140.113,123,12.1538
140.129,121,9.37104
140.129,122,9.29526
140.129,123,12.1538
140.13,121,9.37104
140.13,122,9.29526
140.13,123,12.1538
140.146,121,9.37104
140.146,122,9.29526
140.146,123,12.1538
140.147,121,9.37282
140.147,122,9.29734
140.147,123,12.1274
140.148,121,9.37282
140.148,122,9.29734
140.148,123,12.1274
140.164,121,9.37282
140.164,122,9.29734
140.164,123,12.1274
140.165,121,9.37282
140.165,122,9.29734
140.165,123,12.1274
140.181,121,9.37282
140.181,122,9.29734
140.181,123,12.1274
140.182,121,9.37384
140.182,122,9.29875
140.182,123,12.0999
140.183,121,9.37384
140.183,122,9.29875
140.183,123,12.0999
140.199,121,9.37384
140.199,122,9.29875
140.199,123,12.0999
140.2,121,9.37384
140.2,122,9.29875
140.2,123,12.0999
140.201,121,9.37384
140.201,122,9.29875
140.201,123,12.0999
140.217,121,9.37403
140.217,122,9.29936
140.217,123,12.072
140.218,121,9.37403
140.218,122,9.29936
140.218,123,12.072
140.219,121,9.37403
140.219,122,9.29936
140.219,123,12.072
140.235,121,9.37403
140.235,122,9.29936
140.235,123,12.072
140.236,121,9.37334
140.236,122,9.29983
140.236,123,12.0433
140.252,121,9.37334
140.252,122,9.29983
140.252,123,12.0433
140.253,121,9.37334
140.253,122,9.29983
140.253,123,12.0433
140.254,121,9.37334
140.254,122,9.29983
140.254,123,12.0433
140.27,121,9.37334
140.27,122,9.29983
140.27,123,12.0433
140.271,121,9.37193
140.271,122,9.29937
140.271,123,12.0142
140.272,121,9.37193
140.272,122,9.29937
140.272,123,12.0142
140.288,121,9.37193
140.288,122,9.29937
140.288,123,12.0142
140.289,121,9.37193
140.289,122,9.29937
140.289,123,12.0142
140.305,121,9.37193
140.305,122,9.29937
140.305,123,12.0142
140.306,121,9.37007
140.306,122,9.29858
140.306,123,11.9843
140.307,121,9.37007
140.307,122,9.29858
140.307,123,11.9843
140.323,121,9.37007
140.323,122,9.29858
140.323,123,11.9843
140.324,121,9.37007
140.324,122,9.29858
140.324,123,11.9843
140.34,121,9.37007
140.34,122,9.29858
140.34,123,11.9843
140.341,121,9.36722
140.341,122,9.2972
140.341,123,11.9544
140.342,121,9.36722
140.342,122,9.2972
140.342,123,11.9544
140.358,121,9.36722
140.358,122,9.2972
140.358,123,11.9544
140.359,121,9.36722
140.359,122,9.2972
140.359,123,11.9544
140.375,121,9.36722
140.375,122,9.2972
140.375,123,11.9544
140.376,121,9.36405
140.376,122,9.29572
140.376,123,11.9236
140.377,121,9.36405
140.377,122,9.29572
140.377,123,11.9236
140.393,121,9.36405
140.393,122,9.29572
140.393,123,11.9236
140.394,121,9.36405
140.394,122,9.29572
140.394,123,11.9236
140.395,121,9.36405
140.395,122,9.29572
140.395,123,11.9236
140.411,121,9.36405
140.411,122,9.29572
140.411,123,11.9236
140.412,121,9.36005
140.412,122,9.29346
140.412,123,11.8924
140.413,121,9.36005
140.413,122,9.29346
140.413,123,11.8924
140.429,121,9.36005
140.429,122,9.29346
140.429,123,11.8924
140.43,121,9.36005
140.43,122,9.29346
140.43,123,11.8924
140.446,121,9.36005
140.446,122,9.29346
140.446,123,11.8924
140.447,121,9.35572
140.447,122,9.29093
140.447,123,11.8609
140.448,121,9.35572
140.448,122,9.29093
140.448,123,11.8609
140.464,121,9.35572
140.464,122,9.29093
140.464,123,11.8609
140.465,121,9.35572
140.465,122,9.29093
140.465,123,11.8609
140.466,121,9.35572
140.466,122,9.29093
140.466,123,11.8609
140.482,121,9.35572
140.482,122,9.29093
140.482,123,11.8609
140.483,121,9.35087
140.483,122,9.2945
140.483,123,11.8289
140.484,121,9.35087
140.484,122,9.2945
140.484,123,11.8289
140.5,121,9.35087
140.5,122,9.2945
140.5,123,11.8289
140.501,121,9.35087
140.501,122,9.2945
140.501,123,11.8289
140.502,121,9.35087
140.502,122,9.2945
140.502,123,11.8289
140.518,121,9.35087
140.518,122,9.2945
140.518,123,11.8289
140.519,121,9.34576
140.519,122,9.29126
140.519,123,11.7966
140.52,121,9.34576
140.52,122,9.29126
140.52,123,11.7966
140.536,121,9.34576
140.536,122,9.29126
140.536,123,11.7966
140.537,121,9.34576
140.537,122,9.29126
140.537,123,11.7966
140.538,121,9.34576
140.538,122,9.29126
140.538,123,11.7966
140.554,121,9.34576
140.554,122,9.29126
140.554,123,11.7966
140.555,121,9.33996
140.555,122,9.28775
140.555,123,11.764
140.571,121,9.33996
140.571,122,9.28775
140.571,123,11.764
140.572,121,9.33996
140.572,122,9.28775
140.572,123,11.764
140.573,121,9.33996
140.573,122,9.28775
140.573,123,11.764
140.589,121,9.33996
140.589,122,9.28775
140.589,123,11.764
140.59,121,9.33404
140.59,122,9.28412
140.59,123,11.7311
140.606,121,9.33404
140.606,122,9.28412
140.606,123,11.7311
140.607,121,9.33404
140.607,122,9.28412
140.607,123,11.7311
140.608,121,9.33404
140.608,122,9.28412
140.608,123,11.7311
140.624,121,9.33404
140.624,122,9.28412
140.624,123,11.7311
140.625,121,9.3277
140.625,122,9.27991
140.625,123,11.698
140.641,121,9.3277
140.641,122,9.27991
140.641,123,11.698
140.642,121,9.3277
140.642,122,9.27991
140.642,123,11.698
140.643,121,9.3277
140.643,122,9.27991
140.643,123,11.698
140.659,121,9.32113
140.659,122,9.27548
140.659,123,11.6646
140.66,121,9.32113
140.66,122,9.27548
140.66,123,11.6646
140.661,121,9.32113
140.661,122,9.27548
140.661,123,11.6646
140.677,121,9.32113
140.677,122,9.27548
140.677,123,11.6646
140.678,121,9.31429
140.678,122,9.27067
140.678,123,11.6312
140.679,121,9.31429
140.679,122,9.27067
140.679,123,11.6312
140.695,121,9.31429
140.695,122,9.27067
140.695,123,11.6312
140.696,121,9.31429
140.696,122,9.27067
140.696,123,11.6312
140.712,121,9.31429
140.712,122,9.27067
140.712,123,11.6312
140.713,121,9.30731
140.713,122,9.26562
140.713,123,11.5974
140.714,121,9.30731
140.714,122,9.26562
140.714,123,11.5974
140.73,121,9.30731
140.73,122,9.26562
140.73,123,11.5974
140.731,121,9.30731
140.731,122,9.26562
140.731,123,11.5974
140.732,121,9.30731
140.732,122,9.26562
140.732,123,11.5974
140.748,121,9.30731
140.748,122,9.26562
140.748,123,11.5974
140.749,121,9.30023
140.749,122,9.26042
140.749,123,11.5634
140.765,121,9.30023
140.765,122,9.26042
140.765,123,11.5634
140.766,121,9.30023
140.766,122,9.26042
140.766,123,11.5634
140.767,121,9.30023
140.767,122,9.26042
140.767,123,11.5634
140.783,121,9.30023
140.783,122,9.26042
140.783,123,11.5634
140.784,121,9.29303
140.784,122,9.25521
140.784,123,11.5295
140.8,121,9.29303
140.8,122,9.25521
140.8,123,11.5295
140.801,121,9.29303
140.801,122,9.25521
140.801,123,11.5295
140.802,121,9.29303
140.802,122,9.25521
140.802,123,11.5295
140.818,121,9.29303
140.818,122,9.25521
140.818,123,11.5295
140.819,121,9.28589
140.819,122,9.24994
140.819,123,11.4953
140.835,121,9.28589
140.835,122,9.24994
140.835,123,11.4953
140.836,121,9.28589
140.836,122,9.24994
140.836,123,11.4953
140.837,121,9.28589
140.837,122,9.24994
140.837,123,11.4953
140.853,121,9.28589
140.853,122,9.24994
140.853,123,11.4953
140.854,121,9.27859
140.854,122,9.2443
140.854,123,11.4612
140.855,121,9.27859
140.855,122,9.2443
140.855,123,11.4612
140.871,121,9.27859
140.871,122,9.2443
140.871,123,11.4612
140.872,121,9.27859
140.872,122,9.2443
140.872,123,11.4612
140.873,121,9.27859
140.873,122,9.2443
140.873,123,11.4612
140.889,121,9.27859
140.889,122,9.2443
140.889,123,11.4612
140.89,121,9.27138
140.89,122,9.23881
140.89,123,11.4272
140.906,121,9.27138
140.906,122,9.23881
140.906,123,11.4272
140.907,121,9.27138
140.907,122,9.23881
140.907,123,11.4272
140.908,121,9.27138
140.908,122,9.23881
140.908,123,11.4272
140.924,121,9.27138
140.924,122,9.23881
140.924,123,11.4272
140.925,121,9.26425
140.925,122,9.2334
140.925,123,11.393
140.926,121,9.26425
140.926,122,9.2334
140.926,123,11.393
140.942,121,9.26425
140.942,122,9.2334
140.942,123,11.393
140.943,121,9.26425
140.943,122,9.2334
140.943,123,11.393
140.944,121,9.26425
140.944,122,9.2334
140.944,123,11.393
140.96,121,9.26425
140.96,122,9.2334
140.96,123,11.393
140.961,121,9.25712
140.961,122,9.2275
140.961,123,11.359
140.962,121,9.25712
140.962,122,9.2275
140.962,123,11.359
140.978,121,9.25712
140.978,122,9.2275
140.978,123,11.359
140.979,121,9.25712
140.979,122,9.2275
140.979,123,11.359
140.98,121,9.25712
140.98,122,9.2275
140.98,123,11.359
140.996,121,9.25712
140.996,122,9.2275
140.996,123,11.359
140.997,121,9.25434
140.997,122,9.22765
140.997,123,11.3213
140.998,121,9.25434
140.998,122,9.22765
140.998,123,11.3213
141.014,121,9.25434
141.014,122,9.22765
141.014,123,11.3213
141.015,121,9.25434
141.015,122,9.22765
141.015,123,11.3213
141.031,121,9.25434
141.031,122,9.22765
141.031,123,11.3213
141.032,121,9.24754
141.032,122,9.22212
141.032,123,11.2876
141.033,121,9.24754
141.033,122,9.22212
141.033,123,11.2876
141.049,121,9.24754
141.049,122,9.22212
141.049,123,11.2876
141.05,121,9.24754
141.05,122,9.22212
141.05,123,11.2876
141.066,121,9.24754
141.066,122,9.22212
141.066,123,11.2876
141.067,121,9.24109
141.067,122,9.21671
141.067,123,11.254
141.068,121,9.24109
141.068,122,9.21671
141.068,123,11.254
141.084,121,9.24109
141.084,122,9.21671
141.084,123,11.254
