Time (s),Agent ID,Distance
140.043,41,5.89087
140.043,42,7.19307
140.043,43,8.05586
140.043,44,7.65493
140.043,45,10.7648
140.043,46,13.0794
140.043,47,14.0788
140.044,41,5.89087
140.044,42,7.19307
140.044,43,8.05586
140.044,44,7.65493
140.044,45,10.7648
140.044,46,13.0794
140.044,47,14.0788
140.059,41,5.89087
140.059,42,7.19307
140.059,43,8.05586
140.059,44,7.65493
140.059,45,10.7648
140.059,46,13.0794
140.059,47,14.0788
140.06,41,5.89087
140.06,42,7.19307
140.06,43,8.05586
140.06,44,7.65493
140.06,45,10.7648
140.06,46,13.0794
140.06,47,14.0788
140.061,41,5.89087
140.061,42,7.19307
140.061,43,8.05586
140.061,44,7.65493
140.061,45,10.7648
140.061,46,13.0794
140.061,47,14.0788
140.076,41,5.89087
140.076,42,7.19307
140.076,43,8.05586
140.076,44,7.65493
140.076,45,10.7648
140.076,46,13.0794
140.076,47,14.0788
140.077,41,5.86186
140.077,42,7.16429
140.077,43,8.0273
140.077,44,7.62585
140.077,45,10.7331
140.077,46,13.0502
140.077,47,14.0479
140.078,41,5.86186
140.078,42,7.16429
140.078,43,8.0273
140.078,44,7.62585
140.078,45,10.7331
140.078,46,13.0502
140.078,47,14.0479
140.093,41,5.86186
140.093,42,7.16429
140.093,43,8.0273
140.093,44,7.62585
140.093,45,10.7331
140.093,46,13.0502
140.093,47,14.0479
140.094,41,5.86186
140.094,42,7.16429
140.094,43,8.0273
140.094,44,7.62585
140.094,45,10.7331
140.094,46,13.0502
140.094,47,14.0479
140.095,41,5.86186
140.095,42,7.16429
140.095,43,8.0273
140.095,44,7.62585
140.095,45,10.7331
140.095,46,13.0502
140.095,47,14.0479
140.11,41,5.86186
140.11,42,7.16429
140.11,43,8.0273
140.11,44,7.62585
140.11,45,10.7331
140.11,46,13.0502
140.11,47,14.0479
140.111,41,5.83192
140.111,42,7.13511
140.111,43,7.99851
140.111,44,7.59599
140.111,45,10.7009
140.111,46,13.0202
140.111,47,14.0163
140.112,41,5.83192
140.112,42,7.13511
140.112,43,7.99851
140.112,44,7.59599
140.112,45,10.7009
140.112,46,13.0202
140.112,47,14.0163
140.127,41,5.83192
140.127,42,7.13511
140.127,43,7.99851
140.127,44,7.59599
140.127,45,10.7009
140.127,46,13.0202
140.127,47,14.0163
140.128,41,5.83192
140.128,42,7.13511
140.128,43,7.99851
140.128,44,7.59599
140.128,45,10.7009
140.128,46,13.0202
140.128,47,14.0163
140.129,41,5.83192
140.129,42,7.13511
140.129,43,7.99851
140.129,44,7.59599
140.129,45,10.7009
140.129,46,13.0202
140.129,47,14.0163
140.144,41,5.83192
140.144,42,7.13511
140.144,43,7.99851
140.144,44,7.59599
140.144,45,10.7009
140.144,46,13.0202
140.144,47,14.0163
140.145,41,5.80096
140.145,42,7.10509
140.145,43,7.96885
140.145,44,7.56501
140.145,45,10.6678
140.145,46,12.9891
140.145,47,13.9842
140.146,41,5.80096
140.146,42,7.10509
140.146,43,7.96885
140.146,44,7.56501
140.146,45,10.6678
140.146,46,12.9891
140.146,47,13.9842
140.161,41,5.80096
140.161,42,7.10509
140.161,43,7.96885
140.161,44,7.56501
140.161,45,10.6678
140.161,46,12.9891
140.161,47,13.9842
140.162,41,5.80096
140.162,42,7.10509
140.162,43,7.96885
140.162,44,7.56501
140.162,45,10.6678
140.162,46,12.9891
140.162,47,13.9842
140.163,41,5.80096
140.163,42,7.10509
140.163,43,7.96885
140.163,44,7.56501
140.163,45,10.6678
140.163,46,12.9891
140.163,47,13.9842
140.178,41,5.80096
140.178,42,7.10509
140.178,43,7.96885
140.178,44,7.56501
140.178,45,10.6678
140.178,46,12.9891
140.178,47,13.9842
140.179,41,5.76901
140.179,42,7.07449
140.179,43,7.93837
140.179,44,7.53317
140.179,45,10.634
140.179,46,12.9574
140.179,47,13.9512
140.18,41,5.76901
140.18,42,7.07449
140.18,43,7.93837
140.18,44,7.53317
140.18,45,10.634
