Time (s),Agent ID,Distance
140.041,171,15.5341
140.041,176,14.413
140.041,177,2.76541
140.041,178,3.77946
140.041,179,4.21657
140.041,180,6.64471
140.041,181,6.5774
140.041,182,4.81561
140.041,183,5.52125
140.041,184,5.17539
140.041,185,13.4426
140.041,186,14.3041
140.041,187,14.2656
140.041,188,14.1735
140.042,171,15.5341
140.042,176,14.413
140.042,177,2.76541
140.042,178,3.77946
140.042,179,4.21657
140.042,180,6.64471
140.042,181,6.5774
140.042,182,4.81561
140.042,183,5.52125
140.042,184,5.17539
140.042,185,13.4426
140.042,186,14.3041
140.042,187,14.2656
140.042,188,14.1735
140.043,171,15.5341
140.043,176,14.413
140.043,177,2.76541
140.043,178,3.77946
140.043,179,4.21657
140.043,180,6.64471
140.043,181,6.5774
140.043,182,4.81561
140.043,183,5.52125
140.043,184,5.17539
140.043,185,13.4426
140.043,186,14.3041
140.043,187,14.2656
140.043,188,14.1735
140.053,171,15.5341
140.053,176,14.413
140.053,177,2.76541
140.053,178,3.77946
140.053,179,4.21657
140.053,180,6.64471
140.053,181,6.5774
140.053,182,4.81561
140.053,183,5.52125
140.053,184,5.17539
140.053,185,13.4426
140.053,186,14.3041
140.053,187,14.2656
140.053,188,14.1735
140.054,171,15.5341
140.054,176,14.413
140.054,177,2.76541
140.054,178,3.77946
140.054,179,4.21657
140.054,180,6.64471
140.054,181,6.5774
140.054,182,4.81561
140.054,183,5.52125
140.054,184,5.17539
140.054,185,13.4426
140.054,186,14.3041
140.054,187,14.2656
140.054,188,14.1735
140.055,171,15.5341
140.055,176,14.413
140.055,177,2.76541
140.055,178,3.77946
140.055,179,4.21657
140.055,180,6.64471
140.055,181,6.5774
140.055,182,4.81561
140.055,183,5.52125
140.055,184,5.17539
140.055,185,13.4426
140.055,186,14.3041
140.055,187,14.2656
140.055,188,14.1735
140.065,171,15.5341
140.065,176,14.413
140.065,177,2.76541
140.065,178,3.77946
140.065,179,4.21657
140.065,180,6.64471
140.065,181,6.5774
140.065,182,4.81561
140.065,183,5.52125
140.065,184,5.17539
140.065,185,13.4426
140.065,186,14.3041
140.065,187,14.2656
140.065,188,14.1735
140.066,171,15.528
140.066,176,14.4199
140.066,177,2.74811
140.066,178,3.76473
140.066,179,4.20443
140.066,180,6.62959
140.066,181,6.5629
140.066,182,4.79847
140.066,183,5.50435
140.066,184,5.15691
140.066,185,13.4251
140.066,186,14.2859
140.066,187,14.2492
140.066,188,14.1568
140.067,171,15.528
140.067,176,14.4199
140.067,177,2.74811
140.067,178,3.76473
140.067,179,4.20443
140.067,180,6.62959
140.067,181,6.5629
140.067,182,4.79847
140.067,183,5.50435
140.067,184,5.15691
140.067,185,13.4251
140.067,186,14.2859
140.067,187,14.2492
140.067,188,14.1568
140.077,171,15.528
140.077,176,14.4199
140.077,177,2.74811
140.077,178,3.76473
140.077,179,4.20443
140.077,180,6.62959
140.077,181,6.5629
140.077,182,4.79847
140.077,183,5.50435
140.077,184,5.15691
140.077,185,13.4251
140.077,186,14.2859
140.077,187,14.2492
140.077,188,14.1568
140.078,171,15.528
140.078,176,14.4199
140.078,177,2.74811
140.078,178,3.76473
140.078,179,4.20443
140.078,180,6.62959
140.078,181,6.5629
140.078,182,4.79847
140.078,183,5.50435
140.078,184,5.15691
