Time (s),x,y
140.032,12.925,6.40808
140.038,12.925,6.40808
140.039,12.925,6.40808
140.04,12.925,6.40808
140.046,12.925,6.40808
140.047,12.925,6.40808
140.048,12.925,6.40808
140.054,12.925,6.40808
140.055,12.925,6.40808
140.056,12.925,6.40808
140.062,12.925,6.40808
140.063,12.925,6.40808
140.064,12.925,6.40808
140.07,12.925,6.40808
140.071,12.9195,6.41584
140.072,12.9195,6.41584
140.078,12.9195,6.41584
140.079,12.9195,6.41584
140.08,12.9195,6.41584
140.086,12.9195,6.41584
140.087,12.9195,6.41584
140.088,12.9195,6.41584
140.094,12.9195,6.41584
140.095,12.9195,6.41584
140.096,12.9195,6.41584
140.102,12.9195,6.41584
140.103,12.913,6.42335
140.104,12.913,6.42335
140.11,12.913,6.42335
140.111,12.913,6.42335
140.112,12.913,6.42335
140.118,12.913,6.42335
140.119,12.913,6.42335
140.12,12.913,6.42335
140.126,12.913,6.42335
140.127,12.913,6.42335
140.128,12.913,6.42335
140.134,12.913,6.42335
140.135,12.9058,6.43101
140.136,12.9058,6.43101
140.142,12.9058,6.43101
140.143,12.9058,6.43101
140.144,12.9058,6.43101
140.15,12.9058,6.43101
140.151,12.9058,6.43101
140.152,12.9058,6.43101
140.158,12.9058,6.43101
140.159,12.9058,6.43101
140.16,12.9058,6.43101
140.166,12.9058,6.43101
140.167,12.9058,6.43101
140.168,12.8978,6.43878
140.174,12.8978,6.43878
140.175,12.8978,6.43878
140.176,12.8978,6.43878
140.182,12.8978,6.43878
140.183,12.8978,6.43878
140.184,12.8978,6.43878
140.19,12.8978,6.43878
140.191,12.8978,6.43878
140.192,12.8978,6.43878
140.198,12.8978,6.43878
140.199,12.8978,6.43878
140.2,12.8978,6.43878
140.206,12.8978,6.43878
140.207,12.8894,6.4471
140.208,12.8894,6.4471
140.214,12.8894,6.4471
140.215,12.8894,6.4471
140.216,12.8894,6.4471
140.222,12.8894,6.4471
140.223,12.8894,6.4471
140.224,12.8894,6.4471
140.23,12.8894,6.4471
140.231,12.8894,6.4471
140.232,12.8894,6.4471
140.238,12.8894,6.4471
140.239,12.8805,6.45566
140.24,12.8805,6.45566
140.246,12.8805,6.45566
140.247,12.8805,6.45566
140.248,12.8805,6.45566
140.254,12.8805,6.45566
140.255,12.8805,6.45566
140.256,12.8805,6.45566
140.262,12.8805,6.45566
140.263,12.8805,6.45566
140.264,12.8805,6.45566
140.27,12.8805,6.45566
140.271,12.8706,6.46375
140.272,12.8706,6.46375
140.278,12.8706,6.46375
140.279,12.8706,6.46375
140.28,12.8706,6.46375
140.286,12.8706,6.46375
140.287,12.8706,6.46375
140.288,12.8706,6.46375
140.294,12.8706,6.46375
140.295,12.8706,6.46375
140.296,12.8706,6.46375
140.302,12.8706,6.46375
140.303,12.8706,6.46375
140.304,12.8606,6.4728
140.31,12.8606,6.4728
140.311,12.8606,6.4728
140.312,12.8606,6.4728
140.318,12.8606,6.4728
140.319,12.8606,6.4728
140.32,12.8606,6.4728
140.326,12.8606,6.4728
140.327,12.8606,6.4728
140.328,12.8606,6.4728
140.334,12.8606,6.4728
140.335,12.8606,6.4728
140.336,12.8606,6.4728
140.342,12.8606,6.4728
140.343,12.8498,6.48161
140.344,12.8498,6.48161
140.35,12.8498,6.48161
140.351,12.8498,6.48161
140.352,12.8498,6.48161
140.358,12.8498,6.48161
140.359,12.8498,6.48161
140.36,12.8498,6.48161
140.366,12.8498,6.48161
140.367,12.8498,6.48161
140.368,12.8498,6.48161
140.374,12.8498,6.48161
140.375,12.8387,6.49079
140.376,12.8387,6.49079
140.382,12.8387,6.49079
140.383,12.8387,6.49079
140.384,12.8387,6.49079
140.39,12.8387,6.49079
140.391,12.8387,6.49079
140.392,12.8387,6.49079
140.398,12.8387,6.49079
140.399,12.8387,6.49079
140.4,12.8387,6.49079
140.406,12.8387,6.49079
140.407,12.8273,6.50026
140.408,12.8273,6.50026
140.414,12.8273,6.50026
140.415,12.8273,6.50026
140.416,12.8273,6.50026
140.422,12.8273,6.50026
140.423,12.8273,6.50026
140.424,12.8273,6.50026
140.43,12.8273,6.50026
140.431,12.8273,6.50026
140.432,12.8273,6.50026
140.438,12.8273,6.50026
140.439,12.8273,6.50026
140.44,12.815,6.50912
140.446,12.815,6.50912
140.447,12.815,6.50912
140.448,12.815,6.50912
140.454,12.815,6.50912
140.455,12.815,6.50912
140.456,12.815,6.50912
140.462,12.815,6.50912
140.463,12.815,6.50912
140.464,12.815,6.50912
140.47,12.815,6.50912
140.471,12.815,6.50912
140.472,12.815,6.50912
140.478,12.815,6.50912
140.479,12.8027,6.51887
140.48,12.8027,6.51887
140.486,12.8027,6.51887
140.487,12.8027,6.51887
140.488,12.8027,6.51887
140.494,12.8027,6.51887
140.495,12.8027,6.51887
140.496,12.8027,6.51887
