Time (s),x,y
140.036,12.9168,6.1749
140.037,12.9168,6.1749
140.045,12.9168,6.1749
140.046,12.9168,6.1749
140.047,12.9168,6.1749
140.055,12.9168,6.1749
140.056,12.9168,6.1749
140.057,12.9168,6.1749
140.065,12.9168,6.1749
140.066,12.915,6.17664
140.067,12.915,6.17664
140.075,12.915,6.17664
140.076,12.915,6.17664
140.077,12.915,6.17664
140.085,12.915,6.17664
140.086,12.915,6.17664
140.087,12.915,6.17664
140.095,12.915,6.17664
140.096,12.915,6.17664
140.097,12.915,6.17664
140.105,12.915,6.17664
140.106,12.9137,6.17825
140.107,12.9137,6.17825
140.115,12.9137,6.17825
140.116,12.9137,6.17825
140.117,12.9137,6.17825
140.125,12.9137,6.17825
140.126,12.9137,6.17825
140.127,12.9137,6.17825
140.135,12.9137,6.17825
140.136,12.9129,6.17891
140.137,12.9129,6.17891
140.145,12.9129,6.17891
140.146,12.9129,6.17891
140.147,12.9129,6.17891
140.155,12.9129,6.17891
140.156,12.9129,6.17891
140.157,12.9129,6.17891
140.165,12.9129,6.17891
140.166,12.9129,6.17891
140.167,12.9129,6.17891
140.175,12.9125,6.17921
140.176,12.9125,6.17921
140.177,12.9125,6.17921
140.185,12.9125,6.17921
140.186,12.9125,6.17921
140.187,12.9125,6.17921
140.195,12.9125,6.17921
140.196,12.9125,6.17921
140.197,12.9125,6.17921
140.205,12.9125,6.17921
140.206,12.9124,6.17924
140.207,12.9124,6.17924
140.215,12.9124,6.17924
140.216,12.9124,6.17924
140.217,12.9124,6.17924
140.225,12.9124,6.17924
140.226,12.9124,6.17924
140.227,12.9124,6.17924
140.235,12.9124,6.17924
140.236,12.9125,6.17873
140.237,12.9125,6.17873
140.245,12.9125,6.17873
140.246,12.9125,6.17873
140.247,12.9125,6.17873
140.255,12.9125,6.17873
140.256,12.9125,6.17873
140.257,12.9125,6.17873
140.265,12.9125,6.17873
140.266,12.9125,6.17873
140.267,12.9125,6.17873
140.275,12.9125,6.17873
140.276,12.9128,6.17779
140.277,12.9128,6.17779
140.285,12.9128,6.17779
140.286,12.9128,6.17779
140.287,12.9128,6.17779
140.295,12.9128,6.17779
140.296,12.9128,6.17779
140.297,12.9128,6.17779
140.305,12.9128,6.17779
140.306,12.9132,6.17665
140.307,12.9132,6.17665
140.315,12.9132,6.17665
140.316,12.9132,6.17665
140.317,12.9132,6.17665
140.325,12.9132,6.17665
140.326,12.9132,6.17665
140.327,12.9132,6.17665
140.335,12.9132,6.17665
140.336,12.9132,6.17665
140.337,12.9132,6.17665
140.345,12.9138,6.1752
140.346,12.9138,6.1752
140.347,12.9138,6.1752
140.355,12.9138,6.1752
140.356,12.9138,6.1752
140.357,12.9138,6.1752
140.365,12.9138,6.1752
140.366,12.9138,6.1752
140.367,12.9138,6.1752
140.375,12.9138,6.1752
140.376,12.9144,6.17325
140.377,12.9144,6.17325
140.385,12.9144,6.17325
140.386,12.9144,6.17325
140.387,12.9144,6.17325
140.395,12.9144,6.17325
140.396,12.9144,6.17325
140.397,12.9144,6.17325
140.405,12.9144,6.17325
140.406,12.9149,6.17075
140.407,12.9149,6.17075
140.415,12.9149,6.17075
140.416,12.9149,6.17075
140.417,12.9149,6.17075
140.425,12.9149,6.17075
140.426,12.9149,6.17075
140.427,12.9149,6.17075
140.435,12.9149,6.17075
140.436,12.9149,6.17075
140.437,12.9149,6.17075
140.445,12.9149,6.17075
140.446,12.9152,6.16783
140.447,12.9152,6.16783
140.455,12.9152,6.16783
140.456,12.9152,6.16783
140.457,12.9152,6.16783
140.465,12.9152,6.16783
140.466,12.9152,6.16783
140.467,12.9152,6.16783
140.475,12.9152,6.16783
140.476,12.9154,6.16467
140.477,12.9154,6.16467
140.485,12.9154,6.16467
140.486,12.9154,6.16467
140.487,12.9154,6.16467
140.495,12.9154,6.16467
140.496,12.9154,6.16467
140.497,12.9154,6.16467
140.505,12.9154,6.16467
140.506,12.9154,6.16467
140.507,12.9154,6.16467
140.515,12.9154,6.1613
140.516,12.9154,6.1613
140.517,12.9154,6.1613
140.525,12.9154,6.1613
140.526,12.9154,6.1613
140.527,12.9154,6.1613
140.535,12.9154,6.1613
140.536,12.9154,6.1613
140.537,12.9154,6.1613
140.545,12.9154,6.1613
140.546,12.9153,6.15775
140.547,12.9153,6.15775
140.555,12.9153,6.15775
140.556,12.9153,6.15775
140.557,12.9153,6.15775
140.565,12.9153,6.15775
140.566,12.9153,6.15775
140.567,12.9153,6.15775
140.575,12.9153,6.15775
140.576,12.9151,6.15415
140.577,12.9151,6.15415
140.585,12.9151,6.15415
140.586,12.9151,6.15415
140.587,12.9151,6.15415
140.595,12.9151,6.15415
140.596,12.9151,6.15415
140.597,12.9151,6.15415
140.605,12.9151,6.15415
140.606,12.9151,6.15415
140.607,12.9151,6.15415
140.615,12.9151,6.15415
140.616,12.9147,6.15045
140.617,12.9147,6.15045
140.625,12.9147,6.15045
140.626,12.9147,6.15045
140.627,12.9147,6.15045
140.635,12.9147,6.15045
140.636,12.9147,6.15045
140.637,12.9147,6.15045
140.645,12.9147,6.15045
140.646,12.9142,6.14668
140.647,12.9142,6.14668
140.655,12.9142,6.14668
140.656,12.9142,6.14668
140.657,12.9142,6.14668
140.665,12.9142,6.14668
140.666,12.9142,6.14668
140.667,12.9142,6.14668
140.675,12.9142,6.14668
140.676,12.9142,6.14668
140.677,12.9142,6.14668
140.685,12.9136,6.14287
140.686,12.9136,6.14287
140.687,12.9136,6.14287
140.695,12.9136,6.14287
140.696,12.9136,6.14287
140.697,12.9136,6.14287
140.705,12.9136,6.14287
140.706,12.9136,6.14287
140.707,12.9136,6.14287
140.715,12.9136,6.14287
140.716,12.9128,6.13905
140.717,12.9128,6.13905
140.725,12.9128,6.13905
140.726,12.9128,6.13905
140.727,12.9128,6.13905
140.735,12.9128,6.13905
140.736,12.9128,6.13905
140.737,12.9128,6.13905
140.745,12.9128,6.13905
140.746,12.9118,6.13521
140.747,12.9118,6.13521
140.755,12.9118,6.13521
140.756,12.9118,6.13521
140.757,12.9118,6.13521
140.765,12.9118,6.13521
140.766,12.9118,6.13521
140.767,12.9118,6.13521
140.775,12.9118,6.13521
140.776,12.9118,6.13521
140.777,12.9118,6.13521
140.785,12.9118,6.13521
140.786,12.9104,6.13134
140.787,12.9104,6.13134
140.795,12.9104,6.13134
140.796,12.9104,6.13134
140.797,12.9104,6.13134
140.805,12.9104,6.13134
140.806,12.9104,6.13134
140.807,12.9104,6.13134
140.815,12.9104,6.13134
140.816,12.9088,6.12756
140.817,12.9088,6.12756
140.825,12.9088,6.12756
140.826,12.9088,6.12756
140.827,12.9088,6.12756
140.835,12.9088,6.12756
140.836,12.9088,6.12756
140.837,12.9088,6.12756
140.845,12.9088,6.12756
140.846,12.9088,6.12756
140.847,12.9088,6.12756
140.855,12.9072,6.1239
140.856,12.9072,6.1239
140.857,12.9072,6.1239
140.865,12.9072,6.1239
140.866,12.9072,6.1239
140.867,12.9072,6.1239
140.875,12.9072,6.1239
140.876,12.9072,6.1239
140.877,12.9072,6.1239
140.885,12.9072,6.1239
140.886,12.9056,6.12037
140.887,12.9056,6.12037
140.895,12.9056,6.12037
140.896,12.9056,6.12037
140.897,12.9056,6.12037
140.905,12.9056,6.12037
140.906,12.9056,6.12037
140.907,12.9056,6.12037
140.915,12.9056,6.12037
140.916,12.9039,6.11697
140.917,12.9039,6.11697
140.925,12.9039,6.11697
140.926,12.9039,6.11697
140.927,12.9039,6.11697
140.935,12.9039,6.11697
140.936,12.9039,6.11697
140.937,12.9039,6.11697
140.945,12.9039,6.11697
140.946,12.9039,6.11697
140.947,12.9039,6.11697
140.955,12.9039,6.11697
140.956,12.9019,6.11373
140.957,12.9019,6.11373
140.965,12.9019,6.11373
140.966,12.9019,6.11373
140.967,12.9019,6.11373
140.975,12.9019,6.11373
140.976,12.9019,6.11373
140.977,12.9019,6.11373
140.985,12.9019,6.11373
140.986,12.8995,6.11069
140.987,12.8995,6.11069
140.995,12.8995,6.11069
140.996,12.8995,6.11069
140.997,12.8995,6.11069
141.005,12.8995,6.11069
141.006,12.8995,6.11069
141.007,12.8995,6.11069
141.015,12.8995,6.11069
141.016,12.8995,6.11069
141.017,12.8995,6.11069
141.025,12.8969,6.10789
141.026,12.8969,6.10789
141.027,12.8969,6.10789
141.035,12.8969,6.10789
141.036,12.8969,6.10789
141.037,12.8969,6.10789
141.045,12.8969,6.10789
141.046,12.8969,6.10789
141.047,12.8969,6.10789
141.055,12.8969,6.10789
141.056,12.894,6.10537
141.057,12.894,6.10537
141.065,12.894,6.10537
141.066,12.894,6.10537
141.067,12.894,6.10537
141.075,12.894,6.10537
141.076,12.894,6.10537
141.077,12.894,6.10537
141.085,12.894,6.10537
141.086,12.8915,6.10307
141.087,12.8915,6.10307
141.095,12.8915,6.10307
141.096,12.8915,6.10307
141.097,12.8915,6.10307
141.105,12.8915,6.10307
141.106,12.8915,6.10307
141.107,12.8915,6.10307
141.115,12.8915,6.10307
141.116,12.8915,6.10307
141.117,12.8915,6.10307
141.125,12.8915,6.10307
141.126,12.8889,6.10107
141.127,12.8889,6.10107
141.135,12.8889,6.10107
141.136,12.8889,6.10107
141.137,12.8889,6.10107
141.145,12.8889,6.10107
141.146,12.8889,6.10107
141.147,12.8889,6.10107
141.155,12.8889,6.10107
141.156,12.8859,6.09941
141.157,12.8859,6.09941
141.165,12.8859,6.09941
141.166,12.8859,6.09941
141.167,12.8859,6.09941
141.175,12.8859,6.09941
141.176,12.8859,6.09941
141.177,12.8859,6.09941
141.185,12.8859,6.09941
141.186,12.8859,6.09941
141.187,12.8859,6.09941
141.195,12.8826,6.09814
141.196,12.8826,6.09814
141.197,12.8826,6.09814
141.205,12.8826,6.09814
141.206,12.8826,6.09814
141.207,12.8826,6.09814
141.215,12.8826,6.09814
141.216,12.8826,6.09814
141.217,12.8826,6.09814
141.225,12.8826,6.09814
141.226,12.8791,6.09724
141.227,12.8791,6.09724
141.235,12.8791,6.09724
141.236,12.8791,6.09724
141.237,12.8791,6.09724
141.245,12.8791,6.09724
141.246,12.8791,6.09724
141.247,12.8791,6.09724
141.255,12.8791,6.09724
141.256,12.8755,6.09674
141.257,12.8755,6.09674
141.265,12.8755,6.09674
141.266,12.8755,6.09674
141.267,12.8755,6.09674
141.275,12.8755,6.09674
141.276,12.8755,6.09674
141.277,12.8755,6.09674
141.285,12.8755,6.09674
141.286,12.8755,6.09674
141.287,12.8755,6.09674
141.295,12.8755,6.09674
141.296,12.8718,6.09665
141.297,12.8718,6.09665
141.305,12.8718,6.09665
141.306,12.8718,6.09665
141.307,12.8718,6.09665
141.315,12.8718,6.09665
141.316,12.8718,6.09665
141.317,12.8718,6.09665
141.325,12.8718,6.09665
141.326,12.8679,6.09702
141.327,12.8679,6.09702
141.335,12.8679,6.09702
141.336,12.8679,6.09702
141.337,12.8679,6.09702
141.345,12.8679,6.09702
141.346,12.8679,6.09702
141.347,12.8679,6.09702
141.355,12.8679,6.09702
141.356,12.8679,6.09702
141.357,12.8679,6.09702
141.365,12.8634,6.09784
141.366,12.8634,6.09784
141.367,12.8634,6.09784
141.375,12.8634,6.09784
141.376,12.8634,6.09784
141.377,12.8634,6.09784
141.385,12.8634,6.09784
141.386,12.8634,6.09784
141.387,12.8634,6.09784
141.395,12.8634,6.09784
141.396,12.8587,6.09913
141.397,12.8587,6.09913
141.405,12.8587,6.09913
141.406,12.8587,6.09913
141.407,12.8587,6.09913
141.415,12.8587,6.09913
141.416,12.8587,6.09913
141.417,12.8587,6.09913
141.425,12.8587,6.09913
141.426,12.8537,6.10091
141.427,12.8537,6.10091
141.435,12.8537,6.10091
141.436,12.8537,6.10091
141.437,12.8537,6.10091
141.445,12.8537,6.10091
141.446,12.8537,6.10091
141.447,12.8537,6.10091
141.455,12.8537,6.10091
141.456,12.8537,6.10091
141.457,12.8537,6.10091
141.465,12.8537,6.10091
141.466,12.8484,6.10318
141.467,12.8484,6.10318
141.475,12.8484,6.10318
141.476,12.8484,6.10318
141.477,12.8484,6.10318
141.485,12.8484,6.10318
141.486,12.8484,6.10318
141.487,12.8484,6.10318
141.495,12.8484,6.10318
141.496,12.8423,6.10585
141.497,12.8423,6.10585
141.505,12.8423,6.10585
141.506,12.8423,6.10585
141.507,12.8423,6.10585
141.515,12.8423,6.10585
141.516,12.8423,6.10585
141.517,12.8423,6.10585
141.525,12.8423,6.10585
141.526,12.8423,6.10585
141.527,12.8423,6.10585
141.535,12.8356,6.10894
141.536,12.8356,6.10894
141.537,12.8356,6.10894
141.545,12.8356,6.10894
141.546,12.8356,6.10894
141.547,12.8356,6.10894
141.555,12.8356,6.10894
141.556,12.8356,6.10894
141.557,12.8356,6.10894
141.565,12.8356,6.10894
141.566,12.8283,6.11238
141.567,12.8283,6.11238
141.575,12.8283,6.11238
141.576,12.8283,6.11238
141.577,12.8283,6.11238
141.585,12.8283,6.11238
141.586,12.8283,6.11238
141.587,12.8283,6.11238
141.595,12.8283,6.11238
141.596,12.8202,6.11608
141.597,12.8202,6.11608
141.605,12.8202,6.11608
141.606,12.8202,6.11608
141.607,12.8202,6.11608
141.615,12.8202,6.11608
141.616,12.8202,6.11608
141.617,12.8202,6.11608
141.625,12.8202,6.11608
141.626,12.8202,6.11608
141.627,12.8202,6.11608
141.635,12.8202,6.11608
141.636,12.8112,6.11995
141.637,12.8112,6.11995
141.645,12.8112,6.11995
141.646,12.8112,6.11995
141.647,12.8112,6.11995
141.655,12.8112,6.11995
141.656,12.8112,6.11995
141.657,12.8112,6.11995
141.665,12.8112,6.11995
141.666,12.8016,6.12409
141.667,12.8016,6.12409
141.675,12.8016,6.12409
141.676,12.8016,6.12409
141.677,12.8016,6.12409
141.685,12.8016,6.12409
141.686,12.8016,6.12409
141.687,12.8016,6.12409
141.695,12.8016,6.12409
141.696,12.8016,6.12409
141.697,12.8016,6.12409
141.705,12.791,6.12827
141.706,12.791,6.12827
141.707,12.791,6.12827
141.715,12.791,6.12827
141.716,12.791,6.12827
141.717,12.791,6.12827
141.725,12.791,6.12827
141.726,12.791,6.12827
141.727,12.791,6.12827
141.735,12.791,6.12827
141.736,12.7793,6.132
141.737,12.7793,6.132
141.745,12.7793,6.132
141.746,12.7793,6.132
141.747,12.7793,6.132
141.755,12.7793,6.132
141.756,12.7793,6.132
141.757,12.7793,6.132
141.765,12.7793,6.132
141.766,12.7707,6.13426
141.767,12.7707,6.13426
141.775,12.7707,6.13426
141.776,12.7707,6.13426
141.777,12.7707,6.13426
141.785,12.7707,6.13426
141.786,12.7707,6.13426
141.787,12.7707,6.13426
141.795,12.7707,6.13426
141.796,12.7707,6.13426
141.797,12.7707,6.13426
141.805,12.7707,6.13426
141.806,12.7618,6.13666
141.807,12.7618,6.13666
141.815,12.7618,6.13666
141.816,12.7618,6.13666
141.817,12.7618,6.13666
141.825,12.7618,6.13666
141.826,12.7618,6.13666
141.827,12.7618,6.13666
141.835,12.7618,6.13666
141.836,12.7528,6.13931
141.837,12.7528,6.13931
141.845,12.7528,6.13931
141.846,12.7528,6.13931
141.847,12.7528,6.13931
141.855,12.7528,6.13931
141.856,12.7528,6.13931
141.857,12.7528,6.13931
141.865,12.7528,6.13931
141.866,12.7528,6.13931
141.867,12.7528,6.13931
141.875,12.7436,6.14227
141.876,12.7436,6.14227
141.877,12.7436,6.14227
141.885,12.7436,6.14227
141.886,12.7436,6.14227
141.887,12.7436,6.14227
141.895,12.7436,6.14227
141.896,12.7436,6.14227
141.897,12.7436,6.14227
141.905,12.7436,6.14227
141.906,12.7342,6.14538
141.907,12.7342,6.14538
141.915,12.7342,6.14538
141.916,12.7342,6.14538
141.917,12.7342,6.14538
141.925,12.7342,6.14538
141.926,12.7342,6.14538
141.927,12.7342,6.14538
141.935,12.7342,6.14538
141.936,12.7246,6.14827
141.937,12.7246,6.14827
141.945,12.7246,6.14827
141.946,12.7246,6.14827
141.947,12.7246,6.14827
141.955,12.7246,6.14827
141.956,12.7246,6.14827
141.957,12.7246,6.14827
141.965,12.7246,6.14827
141.966,12.7246,6.14827
141.967,12.7246,6.14827
141.975,12.7246,6.14827
141.976,12.7149,6.15134
141.977,12.7149,6.15134
141.985,12.7149,6.15134
141.986,12.7149,6.15134
141.987,12.7149,6.15134
141.995,12.7149,6.15134
141.996,12.7149,6.15134
141.997,12.7149,6.15134
142.005,12.7149,6.15134
142.006,12.7049,6.15511
142.007,12.7049,6.15511
142.015,12.7049,6.15511
142.016,12.7049,6.15511
142.017,12.7049,6.15511
142.025,12.7049,6.15511
142.026,12.7049,6.15511
142.027,12.7049,6.15511
142.035,12.7049,6.15511
142.036,12.7049,6.15511
142.037,12.7049,6.15511
142.045,12.6949,6.15869
142.046,12.6949,6.15869
142.047,12.6949,6.15869
142.055,12.6949,6.15869
142.056,12.6949,6.15869
142.057,12.6949,6.15869
142.065,12.6949,6.15869
142.066,12.6949,6.15869
142.067,12.6949,6.15869
142.075,12.6949,6.15869
142.076,12.6847,6.16185
142.077,12.6847,6.16185
142.085,12.6847,6.16185
142.086,12.6847,6.16185
142.087,12.6847,6.16185
142.095,12.6847,6.16185
142.096,12.6847,6.16185
142.097,12.6847,6.16185
142.105,12.6847,6.16185
142.106,12.6744,6.16559
142.107,12.6744,6.16559
142.115,12.6744,6.16559
142.116,12.6744,6.16559
142.117,12.6744,6.16559
142.125,12.6744,6.16559
142.126,12.6744,6.16559
142.127,12.6744,6.16559
142.135,12.6744,6.16559
142.136,12.6744,6.16559
142.137,12.6744,6.16559
142.145,12.6744,6.16559
142.146,12.664,6.1697
142.147,12.664,6.1697
142.155,12.664,6.1697
142.156,12.664,6.1697
142.157,12.664,6.1697
142.165,12.664,6.1697
142.166,12.664,6.1697
142.167,12.664,6.1697
142.175,12.664,6.1697
142.176,12.6534,6.17362
142.177,12.6534,6.17362
142.185,12.6534,6.17362
142.186,12.6534,6.17362
142.187,12.6534,6.17362
142.195,12.6534,6.17362
142.196,12.6534,6.17362
142.197,12.6534,6.17362
142.205,12.6534,6.17362
142.206,12.6534,6.17362
142.207,12.6534,6.17362
142.215,12.6428,6.17739
142.216,12.6428,6.17739
142.217,12.6428,6.17739
142.225,12.6428,6.17739
142.226,12.6428,6.17739
142.227,12.6428,6.17739
142.235,12.6428,6.17739
142.236,12.6428,6.17739
142.237,12.6428,6.17739
142.245,12.6428,6.17739
142.246,12.632,6.18157
142.247,12.632,6.18157
142.255,12.632,6.18157
142.256,12.632,6.18157
142.257,12.632,6.18157
142.265,12.632,6.18157
142.266,12.632,6.18157
142.267,12.632,6.18157
142.275,12.632,6.18157
142.276,12.621,6.18616
142.277,12.621,6.18616
142.285,12.621,6.18616
142.286,12.621,6.18616
142.287,12.621,6.18616
142.295,12.621,6.18616
142.296,12.621,6.18616
142.297,12.621,6.18616
142.305,12.621,6.18616
142.306,12.621,6.18616
142.307,12.621,6.18616
142.315,12.621,6.18616
142.316,12.6101,6.19036
142.317,12.6101,6.19036
142.325,12.6101,6.19036
142.326,12.6101,6.19036
142.327,12.6101,6.19036
142.335,12.6101,6.19036
142.336,12.6101,6.19036
142.337,12.6101,6.19036
142.345,12.6101,6.19036
142.346,12.599,6.1947
142.347,12.599,6.1947
142.355,12.599,6.1947
142.356,12.599,6.1947
142.357,12.599,6.1947
142.365,12.599,6.1947
142.366,12.599,6.1947
142.367,12.599,6.1947
142.375,12.599,6.1947
142.376,12.599,6.1947
142.377,12.599,6.1947
142.385,12.5878,6.19876
142.386,12.5878,6.19876
142.387,12.5878,6.19876
142.395,12.5878,6.19876
142.396,12.5878,6.19876
142.397,12.5878,6.19876
142.405,12.5878,6.19876
142.406,12.5878,6.19876
142.407,12.5878,6.19876
142.415,12.5878,6.19876
142.416,12.5765,6.20292
142.417,12.5765,6.20292
142.425,12.5765,6.20292
142.426,12.5765,6.20292
142.427,12.5765,6.20292
142.435,12.5765,6.20292
142.436,12.5765,6.20292
142.437,12.5765,6.20292
142.445,12.5765,6.20292
142.446,12.5651,6.20759
142.447,12.5651,6.20759
142.455,12.5651,6.20759
142.456,12.5651,6.20759
142.457,12.5651,6.20759
142.465,12.5651,6.20759
142.466,12.5651,6.20759
142.467,12.5651,6.20759
142.475,12.5651,6.20759
142.476,12.5651,6.20759
142.477,12.5651,6.20759
142.485,12.5651,6.20759
142.486,12.5536,6.212
142.487,12.5536,6.212
142.495,12.5536,6.212
142.496,12.5536,6.212
142.497,12.5536,6.212
142.505,12.5536,6.212
142.506,12.5536,6.212
142.507,12.5536,6.212
142.515,12.5536,6.212
142.516,12.5425,6.19442
142.517,12.5425,6.19442
142.525,12.5425,6.19442
142.526,12.5425,6.19442
142.527,12.5425,6.19442
142.535,12.5425,6.19442
142.536,12.5425,6.19442
142.537,12.5425,6.19442
142.545,12.5425,6.19442
142.546,12.5425,6.19442
142.547,12.5425,6.19442
142.555,12.5305,6.19889
142.556,12.5305,6.19889
142.557,12.5305,6.19889
142.565,12.5305,6.19889
142.566,12.5305,6.19889
142.567,12.5305,6.19889
142.575,12.5305,6.19889
142.576,12.5305,6.19889
142.577,12.5305,6.19889
142.585,12.5305,6.19889
142.586,12.5183,6.20357
142.587,12.5183,6.20357
142.595,12.5183,6.20357
142.596,12.5183,6.20357
142.597,12.5183,6.20357
142.605,12.5183,6.20357
142.606,12.5183,6.20357
142.607,12.5183,6.20357
142.615,12.5183,6.20357
142.616,12.506,6.2078
142.617,12.506,6.2078
142.625,12.506,6.2078
142.626,12.506,6.2078
142.627,12.506,6.2078
142.635,12.506,6.2078
142.636,12.506,6.2078
142.637,12.506,6.2078
142.645,12.506,6.2078
142.646,12.506,6.2078
142.647,12.506,6.2078
