Scenario,Pedestrian Collisions,Environment Collisions,Timeout,Minimum Distance Exceeded
Scene0_0.3_1_unaware,0,0,0,1
Scene0_0.3_1_sf,0,0,0,1
Scene0_0.3_1_rvo,0,0,0,1
Scene0_0.3_1_sacadrl,0,0,0,1
Scene0_0.4_1_unaware,0,0,0,1
Scene0_0.4_1_sf,0,0,0,1
Scene0_0.4_1_rvo,0,0,0,1
Scene0_0.4_1_sacadrl,0,0,0,1
Scene0_0.5_1_unaware,0,0,0,1
Scene0_0.5_1_sf,0,0,0,1
Scene0_0.5_1_rvo,1,0,0,1
Scene0_0.5_1_sacadrl,0,0,0,1
Scene0_0.7_1_unaware,0,0,0,1
Scene0_0.7_1_sf,0,0,0,1
Scene0_0.7_1_rvo,0,0,0,1
Scene0_0.7_1_sacadrl,0,0,0,1
Scene0_1.0_1_unaware,0,0,0,1
Scene0_1.0_1_sf,0,0,0,1
Scene0_1.0_1_rvo,0,0,0,1
Scene0_1.0_1_sacadrl,0,0,0,1
Scene0_1.5_1_unaware,1,0,0,2
Scene0_1.5_1_sf,0,0,0,1
Scene0_1.5_1_rvo,1,0,0,2
Scene0_1.5_1_sacadrl,0,0,0,1
Scene1_0.3_1_unaware,0,0,0,3
Scene1_0.3_1_sf,0,0,0,3
Scene1_0.3_1_rvo,0,0,0,3
Scene1_0.3_1_sacadrl,0,0,0,3
Scene1_0.4_1_unaware,0,0,0,3
Scene1_0.4_1_sf,0,0,0,3
Scene1_0.4_1_rvo,0,0,0,3
Scene1_0.4_1_sacadrl,0,0,0,3
Scene1_0.5_1_unaware,0,0,0,3
Scene1_0.5_1_sf,0,0,0,3
Scene1_0.5_1_rvo,0,0,0,2
Scene1_0.5_1_sacadrl,0,0,0,3
Scene1_0.7_1_unaware,0,0,0,3
Scene1_0.7_1_sf,0,0,0,3
Scene1_0.7_1_rvo,0,0,0,2
Scene1_0.7_1_sacadrl,0,0,0,2
Scene1_1.0_1_unaware,0,0,0,3
Scene1_1.0_1_sf,0,0,0,3
Scene1_1.0_1_rvo,0,0,0,2
Scene1_1.0_1_sacadrl,1,0,0,3
Scene1_1.5_1_unaware,0,0,0,3
Scene1_1.5_1_sf,0,0,0,3
Scene1_1.5_1_rvo,0,0,0,1
Scene1_1.5_1_sacadrl,0,0,0,2
Scene2_0.3_1_unaware,0,0,0,1
Scene2_0.3_1_sf,0,0,0,1
Scene2_0.3_1_rvo,0,0,0,1
Scene2_0.3_1_sacadrl,0,0,0,1
